Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-frg1,Session ID,Event Type,Reason,Block Number,Phase Name,Rule File,Episode Number,Move Number,Actor,Position ID,Stimulus ID,Reward,Repeat,Human Score,Agent Score,Human Total Score,Agent Total Score,Rewards Remaining,Completed Episodes
40,1784148207029,15/07/2026 20:43:27,1784148206934,-5,15/07/2026 15:43:26,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,9,human,18,3088,,,4,5,8,11,1,
41,1784148207727,15/07/2026 20:43:27,1784148207637,-5,15/07/2026 15:43:27,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,9,agent,15,398,,1,4,5,8,11,1,
42,1784148207838,15/07/2026 20:43:27,1784148207639,-5,15/07/2026 15:43:27,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,episode_end,move_limit,2,"Category 3, type 2",rules_category1.json,2,9,,,,,,4,5,8,11,1,
43,1784148213973,15/07/2026 20:43:33,1784148213884,-5,15/07/2026 15:43:33,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,3,"Category 3, type 3",rules_category1.json,3,1,human,7,398,1,,1,0,9,11,9,
44,1784148214686,15/07/2026 20:43:34,1784148214588,-5,15/07/2026 15:43:34,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,3,"Category 3, type 3",rules_category1.json,3,1,agent,6,6480,1,,1,1,9,12,8,
45,1784148218536,15/07/2026 20:43:38,1784148218435,-5,15/07/2026 15:43:38,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,3,"Category 3, type 3",rules_category1.json,3,2,human,1,835,,,1,1,9,12,8,
46,1784148219240,15/07/2026 20:43:39,1784148219140,-5,15/07/2026 15:43:39,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,3,"Category 3, type 3",rules_category1.json,3,2,agent,16,3372,1,,1,2,9,13,7,
47,1784148221835,15/07/2026 20:43:41,1784148221736,-5,15/07/2026 15:43:41,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,3,"Category 3, type 3",rules_category1.json,3,3,human,17,5826,,,1,2,9,13,7,
48,1784148222531,15/07/2026 20:43:42,1784148222441,-5,15/07/2026 15:43:42,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,3,"Category 3, type 3",rules_category1.json,3,3,agent,14,3835,1,,1,3,9,14,6,
49,1784148223974,15/07/2026 20:43:43,1784148223885,-5,15/07/2026 15:43:43,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,3,"Category 3, type 3",rules_category1.json,3,4,human,13,6532,,,1,3,9,14,6,
